module	title	code	type	semester	credits
Modul FDS/EX - Fundamentals of Data Science - Extension	User Research Methods Project	193.056	PR	2024W	3
Modul MLS/CO - Machine Learning and Statistics - Core	Statistical Simulation and Computerintensive Methods	107.330	VU	2024W	3
Modul MLS/EX - Machine Learning and Statistics - Extension	AI/ML in the Era of Climate Change	194.125	VU	2024W	4
Modul MLS/EX - Machine Learning and Statistics - Extension	Advanced Reinforcement Learning	194.170	VU	2024W	3
Modul MLS/EX - Machine Learning and Statistics - Extension	Applied Deep Learning	194.077	VU	2024W	3
Modul MLS/EX - Machine Learning and Statistics - Extension	Applied Deep Learning canceled	192.032	VU	2024W	3
Modul MLS/EX - Machine Learning and Statistics - Extension	Bayesian Statistics	105.173	VU	2024W	5
Modul MLS/EX - Machine Learning and Statistics - Extension	Business Intelligence	188.429	VU	2024W	6
Modul MLS/EX - Machine Learning and Statistics - Extension	General Regression Models	105.725	VU	2025S	5
Modul MLS/EX - Machine Learning and Statistics - Extension	Generative AI	194.154	VU	2024W	3
Modul MLS/EX - Machine Learning and Statistics - Extension	Intelligent Audio and Music Analysis	194.039	VU	2024W	4
Modul MLS/EX - Machine Learning and Statistics - Extension	Machine Learning for Visual Computing	183.605	VU	2024W	4
Modul MLS/EX - Machine Learning and Statistics - Extension	Modeling and Simulation	194.076	VU	2024W	3
Modul MLS/EX - Machine Learning and Statistics - Extension	Modelling and Simulation in Health Technology Assessment	194.094	VU	2024W	3
Modul MLS/EX - Machine Learning and Statistics - Extension	Multivariate Statistics	107.388	VO	2024W	4
Modul MLS/EX - Machine Learning and Statistics - Extension	Multivariate Statistics	107.391	UE	2024W	1
Modul MLS/EX - Machine Learning and Statistics - Extension	Probabilistic Programming and AI	194.150	VU	2024W	6
Modul MLS/EX - Machine Learning and Statistics - Extension	Self-Organizing Systems	188.413	VU	2024W	4
Modul MLS/EX - Machine Learning and Statistics - Extension	Similarity Modeling 1 - Computational Seeing and Hearing	188.501	VU	2024W	3
Modul MLS/EX - Machine Learning and Statistics - Extension	Similarity Modeling 2 - Computational Seeing and Hearing	188.498	VU	2024W	3
Modul MLS/EX - Machine Learning and Statistics - Extension	Social Network Analysis	194.050	VU	2024W	3
Modul MLS/EX - Machine Learning and Statistics - Extension	Theoretical Foundations and Research Topics in Machine Learning	194.100	VU	2024W	3
Modul BDHPC/CO - Big Data and High Performance Computing - Core	Efficient Programs	185.190	VU	2024W	3
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Advanced Multiprocessor Programming	184.726	VU	2024W	4
